标题,小区,地区,房源信息,总价,单价,所在区
['高层南向景观好，满五唯一，全新装修，钥匙方便看房'],['利雅湾 '],['珠江新城中'],['3室2厅 | 129.91平米 | 西南 | 其他 | 高楼层(共29层) | 2004年 | 塔楼'],['2201'],"['169,425元/平']",天河区
['双地铁口上盖，正南向电梯3房 小区管理 配套成熟'],['昌乐园 '],['员村'],['3室2厅 | 65.6平米 | 南 | 精装 | 中楼层(共7层) | 1994年 | 塔楼'],['310'],"['47,257元/平']",天河区
['满五年 无抵押  楼下交通便利 配套齐全 业主诚意卖'],['汇友苑 '],['东圃'],['3室1厅 | 58.49平米 | 东南 | 其他 | 中楼层(共19层) | 2003年 | 塔楼'],['245'],"['41,888元/平']",天河区
['满两年，南北大四房，少有在卖的，高层安静看花园。'],['兰亭盛荟 '],['东圃'],['4室1厅 | 126.88平米 | 南 | 其他 | 高楼层(共33层) | 2018年 | 塔楼'],['1268.8'],"['100,000元/平']",天河区
['安静看泳池花园，可以随时交易，随时看房，采光通风强'],['兰亭盛荟 '],['东圃'],['4室2厅 | 126.88平米 | 南 | 精装 | 低楼层(共33层) | 2018年 | 塔楼'],['1268'],"['99,937元/平']",天河区
['东南向三房 户型方正 电梯房 中楼层'],['体育西路 '],['天河南'],['3室1厅 | 83.21平米 | 东南 | 精装 | 高楼层(共9层) | 1993年 | 塔楼'],['400'],"['48,072元/平']",天河区
['原装电梯南向三房  装修保养好 安静不吵  满五'],['侨怡苑 '],['体育中心'],['3室2厅 | 106.71平米 | 南 | 精装 | 低楼层(共21层) | 1992年 | 塔楼'],['650'],"['60,913元/平']",天河区
['天河北 金田花苑三期 东南向三房三阳台'],['金田花苑 '],['天润路'],['3室2厅 | 105.26平米 | 东南 | 简装 | 中楼层(共25层) | 2005年 | 塔楼'],['620'],"['58,902元/平']",天河区
['小区里面位置环境好，安静，精装修'],['育蕾小区 '],['天河南'],['3室1厅 | 72.32平米 | 东南 南 | 精装 | 低楼层(共9层) | 1993年 | 塔楼'],['323'],"['44,663元/平']",天河区
['南望珠江新城，300米内医院，地铁，菜市场齐备'],['恒城大厦 '],['天河南'],['3室2厅 | 94.28平米 | 南 | 简装 | 高楼层(共31层) | 1998年 | 塔楼'],['370'],"['39,245元/平']",天河区
['珠城旁边，户型方正 实用 视野开阔 小区门口就是地铁'],['侨兴苑 '],['石牌'],['3室2厅 | 100.31平米 | 东南 南 | 简装 | 高楼层(共9层) | 1993年 | 塔楼'],['288'],"['28,711元/平']",天河区
['天河北安静花园小区 精装3房2卫 拎包入住 体育西'],['西雅苑 '],['体育中心'],['3室2厅 | 109.72平米 | 南 | 精装 | 高楼层(共28层) | 1998年 | 塔楼'],['595'],"['54,229元/平']",天河区
['天河北稀有  一梯二户 双阳台 南北对流'],['银汇华庭 '],['天润路'],['3室2厅 | 132.56平米 | 南 北 | 简装 | 中楼层(共10层) | 2009年 | 板楼'],['950'],"['71,666元/平']",天河区
['华师旁 东方之珠花园 空中花园 南向大三房'],['东方之珠花园 '],['天润路'],['3室2厅 | 142.79平米 | 南 | 其他 | 中楼层(共28层) | 2004年 | 板塔结合'],['799'],"['55,957元/平']",天河区
['电梯三房 满五年 中高楼层 无遮挡 采光好'],['嘉怡花苑 '],['天润路'],['3室2厅 | 82.1平米 | 西 | 精装 | 中楼层(共9层) | 1995年 | 塔楼'],['375'],"['45,677元/平']",天河区
['广利路 电梯南北通透格局 一梯两户户型方正采光通风'],['广利路 '],['天河南'],['3室2厅 | 84平米 | 南 北 | 简装 | 低楼层(共9层) | 1998年 | 板楼'],['390'],"['46,429元/平']",天河区
['信成小区3房变4房中间楼层诚心出卖'],['信成小区 '],['体育中心'],['3室1厅 | 100.02平米 | 西北 | 其他 | 8层 | 1995年 | 板塔结合'],['499'],"['49,891元/平']",天河区
['全屋隔音玻璃 珠江新城三房  loft房间设计空间翻倍'],['恒城大厦 '],['天河南'],['3室1厅 | 86平米 | 南 | 精装 | 高楼层(共31层) | 1998年 | 塔楼'],['380'],"['44,187元/平']",天河区
['正宗南雅苑户型 一梯两户 小区中间位置 安静 住家舒适'],['南雅苑 '],['天河南'],['3室1厅 | 88.21平米 | 南 北 | 简装 | 中楼层(共8层) | 1992年 | 塔楼'],['439'],"['49,768元/平']",天河区
['信成小区3房变4房中间楼层诚心出卖'],['信成小区 '],['体育中心'],['3室1厅 | 100.02平米 | 西北 | 其他 | 8层 | 1995年 | 板塔结合'],['499'],"['49,891元/平']",天河区
['瑞华三房 住宅楼 精致装修 视野开阔'],['瑞华大厦 '],['天润路'],['3室2厅 | 105.62平米 | 东北 | 其他 | 低楼层(共30层) | 1998年 | 塔楼'],['439'],"['41,565元/平']",天河区
['天河体育西 原装电梯楼三房 新装修保养好 采光好'],['天盛大厦 '],['天河南'],['3室2厅 | 96.36平米 | 西 | 精装 | 中楼层(共22层) | 1997年 | 塔楼'],['530'],"['55,003元/平']",天河区
['体育西路 3室1厅 南'],['体育西路 '],['天河南'],['3室1厅 | 79.99平米 | 南 | 其他 | 低楼层(共9层)  | 板楼'],['450'],"['56,258元/平']",天河区
['华师地铁站800米 华工旁 电梯大3房 看房方便'],['天工大厦 '],['五山'],['3室2厅 | 100.76平米 | 东 | 其他 | 低楼层(共15层)  | 塔楼'],['385'],"['38,210元/平']",天河区
['西雅苑 天河体育馆 高层安静 华苑小区'],['西雅苑 '],['体育中心'],['3室2厅 | 109.72平米 | 北 东南 | 其他 | 高楼层(共28层) | 1998年 | 塔楼'],['878'],"['80,022元/平']",天河区
['天河直街 省工艺大院 南向精装三房 业主诚意放卖'],['省工艺大院 '],['体育中心'],['3室2厅 | 96.67平米 | 东南 | 其他 | 中楼层(共8层) | 1994年 | 塔楼'],['508'],"['52,550元/平']",天河区
['华南理工大学北区，电梯方正三房'],['华南理工大学宿舍北区 '],['五山'],['3室1厅 | 84.32平米 | 西北 | 其他 | 低楼层(共9层) | 2003年 | 板楼'],['550'],"['65,228元/平']",天河区
['岗顶地铁口，总额低，南向三房，采光通风好，得房率高'],['冠军小区 '],['石牌'],['3室1厅 | 85.7平米 | 南 | 其他 | 中楼层(共9层) | 1995年 | 塔楼'],['430'],"['50,176元/平']",天河区
['地铁口方正三房 配套齐全使用率高'],['冠军小区 '],['石牌'],['3室1厅 | 82.73平米 | 南 北 | 其他 | 高楼层(共9层) | 1996年 | 塔楼'],['495'],"['59,834元/平']",天河区
['此房满五年产权 电梯中层 视野开阔 采光通风好'],['天鹅花苑 '],['长兴'],['3室2厅 | 84.1平米 | 东南 | 其他 | 高楼层(共9层) | 2003年 | 塔楼'],['320'],"['38,050元/平']",天河区
['育蕾小区 3室1厅 东南 南'],['育蕾小区 '],['天河南'],['3室1厅 | 84平米 | 东南 南 | 其他 | 低楼层(共9层) | 1993年 | 塔楼'],['635'],"['75,596元/平']",天河区
['体育西电梯中楼层，南北对流，满五不唯一，带三阳台'],['体育西路 '],['天河南'],['3室2厅 | 79.84平米 | 西南 西北 | 其他 | 中楼层(共9层)  | 板楼'],['475'],"['59,494元/平']",天河区
['暨南花园 实用三房 暨大内 视野开阔'],['暨南花园 '],['石牌'],['3室2厅 | 94.29平米 | 南 西南 | 其他 | 低楼层(共9层) | 1997年 | 塔楼'],['600'],"['63,634元/平']",天河区
['珠江新城北 冼村旁 楼道大堂翻新了'],['广信牡丹阁 '],['天河南'],['3室2厅 | 102.51平米 | 东南 | 其他 | 低楼层(共25层) | 1997年 | 塔楼'],['520'],"['50,727元/平']",天河区
['五山花园 电梯高层三房 交通便利 近地铁 业主诚心卖'],['五山花园 '],['五山'],['3室2厅 | 90.49平米 | 北 | 简装 | 高楼层(共10层)  | 塔楼'],['630'],"['69,621元/平']",天河区
['龙口板块品质小区三房高层南向2+1房'],['天誉华庭 '],['龙口西'],['3室1厅 | 97.36平米 | 南 | 其他 | 高楼层(共34层) | 2004年 | 板塔结合'],['1000'],"['102,712元/平']",天河区
['六运天河城旁优质三房，户型方正，地铁口，采光通风好'],['六运小区 '],['天河南'],['3室1厅 | 78.95平米 | 北 | 其他 | 低楼层(共9层) | 1992年 | 塔楼'],['425'],"['53,832元/平']",天河区
['东园小区西区电梯三房，南北对流双阳台，采光通风好'],['东园小区西区 '],['石牌'],['3室2厅 | 89.86平米 | 南 北 | 精装 | 中楼层(共9层) | 1992年 | 塔楼'],['436'],"['48,520元/平']",天河区
['天河客运站长福路单位大院 电梯双阳台 中高层 南向3房'],['长福路 '],['五山'],['3室1厅 | 96.07平米 | 南 | 精装 | 高楼层(共9层) | 2001年 | 塔楼'],['389'],"['40,492元/平']",天河区
['龙珠楼 岗顶地铁口 南北向 三房 高层'],['龙珠楼 '],['龙口东'],['3室2厅 | 87.01平米 | 南 北 | 其他 | 高楼层(共9层) | 1997年 | 板楼'],['380'],"['43,674元/平']",天河区
['华工旁 电梯3房 大院管理 使用率高 看房方便'],['消防局宿舍 '],['五山'],['3室1厅 | 82.09平米 | 南 | 简装 | 高楼层(共8层) | 1997年 | 塔楼'],['320'],"['38,982元/平']",天河区
['农科院东区 马赛克全新精装修装修 一梯两户，电梯平层'],['省农科院东区 '],['五山'],['3室2厅 | 92.29平米 | 南 北 | 精装 | 高楼层(共9层) | 2000年 | 塔楼'],['750'],"['81,266元/平']",天河区
['原装电梯 采光好通风  明亮通透 原装电梯 带大台平'],['广信牡丹阁 '],['天河南'],['3室1厅 | 73.72平米 | 北 | 精装 | 低楼层(共25层) | 1997年 | 塔楼'],['368'],"['49,919元/平']",天河区
['华工东区 电梯3房 南北对流 近东区运动场'],['华南理工大学宿舍凤凰新村 '],['五山'],['3室1厅 | 80.21平米 | 南 | 其他 | 低楼层(共9层) | 1995年 | 塔楼'],['490'],"['61,090元/平']",天河区
['长福路 轻工教师楼 南向三房 位置安静'],['广州市轻工高级技工学校宿舍 '],['五山'],['3室1厅 | 81.15平米 | 南 | 简装 | 高楼层(共8层) | 2002年 | 塔楼'],['219'],"['26,988元/平']",天河区
['半山翠庭新推出方正三房，格局好，户型实用'],['半山翠庭 '],['五山'],['3室2厅 | 100.55平米 | 西南 | 其他 | 高楼层(共7层) | 1999年 | 塔楼'],['520'],"['51,716元/平']",天河区
['华南理工大学内 红棉苑中间楼层 原装电梯视野好'],['华南理工大学宿舍红棉苑 '],['五山'],['3室2厅 | 92.5平米 | 东北 | 简装 | 中楼层(共9层) | 2003年 | 板楼'],['657'],"['71,028元/平']",天河区
['电梯南向3房，使用率达到93%，环境舒适 ，安静不吵'],['嘉怡花苑 '],['天润路'],['3室1厅 | 78.32平米 | 南 北 | 简装 | 中楼层(共9层) | 1995年 | 塔楼'],['450'],"['57,457元/平']",天河区
['体育西路天河北街  华阳 边户大三房 通风采光棒'],['体育西路天河北街 '],['体育中心'],['3室1厅 | 94.26平米 | 东南 | 简装 | 高楼层(共8层) | 1992年 | 塔楼'],['520'],"['55,167元/平']",天河区
['省机械研究所改五房 业主诚心卖'],['省机械研究所 '],['天润路'],['3室2厅 | 84.77平米 | 南 | 其他 | 低楼层(共6层) | 1993年 | 板楼'],['470'],"['55,445元/平']",天河区
['天河直街 大院管理 户型方正三房'],['天河直街102-120号宿舍(双号) '],['体育中心'],['3室2厅 | 86.37平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据'],['580'],"['67,153元/平']",天河区
['天河北侨怡苑精装三房厅出阳台业主诚心卖'],['侨怡苑 '],['体育中心'],['3室1厅 | 82.13平米 | 北 | 精装 | 高楼层(共8层) | 1991年 | 塔楼'],['540'],"['65,750元/平']",天河区
['体育东小区 东南向三房 业主诚心出手'],['体育东小区 '],['天河南'],['3室1厅 | 76.56平米 | 南 | 其他 | 高楼层(共9层) | 1999年 | 塔楼'],['510'],"['66,615元/平']",天河区
['珠江新城旁 近地铁 有小区 总额低精装三房 采光通风好'],['东园小区东区 '],['石牌'],['3室2厅 | 93.38平米 | 南 | 其他 | 高楼层(共8层) | 1992年 | 塔楼'],['420'],"['44,978元/平']",天河区
['体育西路天河北街  华阳 边户大三房 通风采光棒'],['体育西路天河北街 '],['体育中心'],['3室1厅 | 94.26平米 | 东南 | 简装 | 高楼层(共8层) | 1992年 | 塔楼'],['520'],"['55,167元/平']",天河区
['华工南秀村小门，省消防总队宿舍，97方框架三房，电梯'],['消防局宿舍 '],['五山'],['3室2厅 | 97平米 | 北 | 简装 | 低楼层(共9层) | 2002年 | 塔楼'],['420'],"['43,299元/平']",天河区
['天河北华阳侨怡苑 两梯四户  房子自带60~70方露台'],['侨怡苑 '],['体育中心'],['3室2厅 | 90.26平米 | 南 | 其他 | 低楼层(共10层) | 1992年 | 塔楼'],['890'],"['98,605元/平']",天河区
['南兴花园 三期高层 南向三房两卫 安静看小蛮腰'],['南兴花园(天河区) '],['天河客运站'],['3室2厅 | 95.83平米 | 南 | 精装 | 高楼层(共18层) | 2005年 | 塔楼'],['418'],"['43,619元/平']",天河区
['华南农业大学南北对流实用大3房'],['华南农业大学宿舍嵩山区 '],['五山'],['3室1厅 | 75.23平米 | 南 | 简装 | 低楼层(共4层) | 1985年 | 板楼'],['630'],"['83,744元/平']",天河区
['体育西路满五唯一电梯三房两厅一卫'],['天盛大厦 '],['天河南'],['3室2厅 | 101平米 | 西 | 精装 | 中楼层(共22层) | 1997年 | 塔楼'],['548'],"['54,258元/平']",天河区
['华工东区一梯两户大3房2卫。少见落地窗'],['华南理工大学宿舍凤凰新村 '],['五山'],['3室2厅 | 103.39平米 | 南 | 其他 | 高楼层(共6层) | 2003年 | 板楼'],['688'],"['66,545元/平']",天河区
['冠 军小区 低层三房 近地铁 近三院'],['冠军小区 '],['石牌'],['3室1厅 | 74.52平米 | 东北 | 精装 | 低楼层(共9层) | 1996年 | 塔楼'],['360'],"['48,310元/平']",天河区
['六运小区体育东 电梯平层入户 全明三房 方正实用'],['六运小区 '],['天河南'],['3室1厅 | 79.54平米 | 南 | 简装 | 中楼层(共8层)  | 塔楼'],['510'],"['64,119元/平']",天河区
['天荣小区，精装修，南向户型方正，三阳台，满五年唯一'],['天荣小区 '],['天河南'],['3室2厅 | 103.15平米 | 东南 南 | 精装 | 低楼层(共24层) | 1997年 | 塔楼'],['620'],"['60,107元/平']",天河区
['满五年 免增值税 户型好 带电梯，南北对流，视野开阔'],['天河直街小区 '],['体育中心'],['3室1厅 | 90.57平米 | 东南 | 其他 | 低楼层(共9层) | 1990年 | 塔楼'],['480'],"['52,998元/平']",天河区
['体育东电梯2房改3房  东南向通风采光好 电梯平层入户'],['体育东小区 '],['天河南'],['3室1厅 | 73.54平米 | 南 | 简装 | 高楼层(共9层) | 1999年 | 塔楼'],['350'],"['47,594元/平']",天河区
['金泽大厦 满五唯一  珠江新城旁 冼村地铁'],['金泽大厦 '],['天河南'],['3室2厅 | 97.2平米 | 东 | 精装 | 中楼层(共28层) | 1997年 | 塔楼'],['519'],"['53,396元/平']",天河区
['石牌桥 丰兴广场 封闭式花园小区 视野无遮挡'],['丰兴广场 '],['天河南'],['3室1厅 | 143.2平米 | 东南 | 其他 | 中楼层(共32层) | 2010年 | 板塔结合'],['1150'],"['80,308元/平']",天河区
['此房满二唯一 体育东 建行宿舍 原装电梯楼 采光充足'],['南雅苑 '],['天河南'],['3室2厅 | 89.94平米 | 西南 | 精装 | 低楼层(共18层) | 1992年 | 塔楼'],['560'],"['62,264元/平']",天河区
['东园小区西区 3室2厅 南 北'],['东园小区西区 '],['石牌'],['3室2厅 | 86.27平米 | 南 北 | 其他 | 高楼层(共9层)  | 塔楼'],['435'],"['50,424元/平']",天河区
['暨大 地铁口，户型方正 南北通透，采光通风好，配套好'],['石牌东路 '],['石牌'],['3室2厅 | 76.81平米 | 南 | 简装 | 中楼层(共9层) | 1995年 | 塔楼'],['290'],"['37,756元/平']",天河区
['华师旁 华天国际广场 东苑 电梯中高层 南向三房'],['华天国际广场 '],['龙口东'],['3室2厅 | 96.2平米 | 南 | 其他 | 中楼层(共30层) | 1998年 | 塔楼'],['620'],"['64,450元/平']",天河区
['04年楼龄，视野采光好，过五年，看房随时方便'],['枫丹雅筑 '],['龙口西'],['3室2厅 | 77.99平米 | 东 南 | 简装 | 中楼层(共31层) | 2004年 | 板塔结合'],['425'],"['54,495元/平']",天河区
['建丰大厦   原装电梯  客厅宽敞  视野宽阔  采光足'],['建丰大厦 '],['天河南'],['3室1厅 | 109.7平米 | 北 | 简装 | 低楼层(共25层) | 1997年 | 塔楼'],['560'],"['51,049元/平']",天河区
['天河北 華楊本bu不占 封闭式管理 小区中间位置 安静'],['信成小区 '],['体育中心'],['3室2厅 | 72.63平米 | 东南 南 | 其他 | 8层 | 1995年 | 塔楼'],['468'],"['64,437元/平']",天河区
['双阳台，加装电梯，户型方正实用'],['石牌东路 '],['石牌'],['3室1厅 | 92.37平米 | 东 | 其他 | 低楼层(共9层) | 1999年 | 塔楼'],['400'],"['43,305元/平']",天河区
['三院 户型方正 使用率高，大三房 配套齐全，交通便利'],['中山三院宿舍 '],['石牌'],['3室2厅 | 90.8平米 | 南 北 | 其他 | 低楼层(共9层) | 1990年 | 塔楼'],['470'],"['51,763元/平']",天河区
['怡侨大厦 原装电梯  安静三房 地铁一三号线'],['怡侨大厦 '],['体育中心'],['3室1厅 | 99平米 | 东南 | 精装 | 中楼层(共25层) | 1998年 | 板塔结合'],['550'],"['55,556元/平']",天河区
['长兴小区仅一南向三房 自住精装 安静看花园 明亮透气'],['长兴小区 '],['长兴'],['3室1厅 | 86.48平米 | 南 | 精装 | 中楼层(共11层) | 2005年 | 塔楼'],['400'],"['46,254元/平']",天河区
['怡侨大厦 原装电梯  安静三房 地铁一三号线'],['怡侨大厦 '],['体育中心'],['3室1厅 | 99平米 | 东南 | 精装 | 中楼层(共25层) | 1998年 | 板塔结合'],['550'],"['55,556元/平']",天河区
['精装修电梯三房，电梯平层入户，小区管理'],['天河东远洋宿舍 '],['体育中心'],['3室1厅 | 78.34平米 | 东南 | 其他 | 中楼层(共8层) | 1990年 | 塔楼'],['450'],"['57,442元/平']",天河区
['华翰大厦 天河北 体育西 电梯楼龄新 三房'],['华翰大厦 '],['体育中心'],['3室1厅 | 92.9平米 | 北 | 其他 | 高楼层(共22层) | 2004年 | 塔楼'],['530'],"['57,051元/平']",天河区
['满五非唯一，免增值税  此房目前楼梯。。。。。'],['体育西路 '],['天河南'],['3室1厅 | 78.83平米 | 南 北 | 精装 | 中楼层(共10层)  | 塔楼'],['470'],"['59,622元/平']",天河区
['校园环境舒适三房 户型方正 南向'],['华师附中 '],['石牌'],['3室2厅 | 71.12平米 | 北 南 | 其他 | 低楼层(共6层) | 1997年 | 板楼'],['483'],"['67,914元/平']",天河区
['金海花园  高层方正3+1房  南北对流 全明安静'],['金海花园 '],['龙口东'],['3室2厅 | 104.85平米 | 南 北 | 其他 | 高楼层(共30层) | 2002年 | 塔楼'],['650'],"['61,994元/平']",天河区
['电梯楼，位置安静，户型方正，光线好，业主诚心卖'],['御华苑 '],['龙口东'],['3室1厅 | 108.67平米 | 北 | 其他 | 低楼层(共30层) | 2002年 | 塔楼'],['560'],"['51,533元/平']",天河区
['世纪华都 户型方正 采光充足 封闭式小区'],['天诚广场 '],['天润路'],['3室2厅 | 93.26平米 | 东南 | 其他 | 高楼层(共31层)  | 塔楼'],['600'],"['64,337元/平']",天河区
['金海花园 高层大三房 业主诚意'],['金海花园 '],['龙口东'],['3室1厅 | 104.85平米 | 南 北 | 其他 | 低楼层(共30层) | 2002年 | 板塔结合'],['668'],"['63,711元/平']",天河区
['德欣小区 高层3房 采光好 格局方正 双阳台 视野很好'],['德欣小区 '],['石牌'],['3室1厅 | 91.63平米 | 南 北 | 简装 | 高楼层(共8层) | 1994年 | 塔楼'],['500'],"['54,568元/平']",天河区
['德欣小区南北对流三房，小区中间安静不吵适合自住'],['德欣小区 '],['石牌'],['3室2厅 | 86.72平米 | 南 | 其他 | 低楼层(共8层) | 1994年 | 塔楼'],['416'],"['47,971元/平']",天河区
['天河北次新房 厅出阳台3房 09年的楼 产权清晰'],['银汇华庭 '],['天润路'],['3室1厅 | 73.46平米 | 北 | 精装 | 低楼层(共32层) | 2009年 | 塔楼'],['530'],"['72,149元/平']",天河区
['双阳台，加装电梯，户型方正实用'],['石牌东路 '],['石牌'],['3室1厅 | 92.37平米 | 东 | 其他 | 低楼层(共9层) | 1999年 | 塔楼'],['400'],"['43,305元/平']",天河区
['建丰大厦   原装电梯  客厅宽敞  视野宽阔  采光足'],['建丰大厦 '],['天河南'],['3室1厅 | 109.7平米 | 北 | 简装 | 低楼层(共25层) | 1997年 | 塔楼'],['560'],"['51,049元/平']",天河区
['天河区，南兴花园，双地铁3/6号线，小区园林环境好！'],['南兴花园(天河区) '],['天河客运站'],['3室1厅 | 95.67平米 | 东 东南 | 其他 | 低楼层(共18层) | 2004年 | 塔楼'],['350'],"['36,585元/平']",天河区
['冠 军小区，一梯二户，南北对流，电梯直达。'],['冠军小区 '],['石牌'],['3室1厅 | 89.75平米 | 南 | 简装 | 中楼层(共9层) | 1996年 | 塔楼'],['458'],"['51,031元/平']",天河区
['丰兴广场 143方 3房带主套  东南向  阳光房'],['丰兴广场 '],['天河南'],['3室2厅 | 143.2平米 | 东南 | 简装 | 低楼层(共32层) | 2010年 | 板塔结合'],['850'],"['59,358元/平']",天河区
['业主诚心出五山花园五期，电梯大3房2卫'],['五山花园 '],['五山'],['3室2厅 | 107.69平米 | 北 | 简装 | 低楼层(共16层) | 2006年 | 塔楼'],['480'],"['44,573元/平']",天河区
['乐意居花园 电梯三房厅出阳台 满五年唯一 近地铁'],['乐意居花园 '],['长兴'],['3室2厅 | 97.23平米 | 西南 | 精装 | 中楼层(共9层) | 1999年 | 塔楼'],['350'],"['35,998元/平']",天河区
['此房满五不唯一省府宿舍，封闭式花园小区，物业管理好'],['省府宿舍 '],['天润路'],['3室1厅 | 103.48平米 | 南 北 | 简装 | 低楼层(共29层) | 2000年 | 板塔结合'],['750'],"['72,478元/平']",天河区
['华工北区门口！一梯两户南北对流！通风采光好 房东急'],['广州市轻工高级技工学校宿舍 '],['五山'],['3室1厅 | 81.15平米 | 南 | 精装 | 中楼层(共8层) | 1998年 | 塔楼'],['220'],"['27,111元/平']",天河区
['网红小区 电梯三房 生活方便 岂不美哉'],['六运小区 '],['天河南'],['3室2厅 | 85.82平米 | 南 北 | 其他 | 中楼层(共8层) | 1997年 | 板塔结合'],['456'],"['53,135元/平']",天河区
['南兴花园 电梯三房 南向 户型方正 装修保养好'],['南兴花园(天河区) '],['天河客运站'],['3室2厅 | 93.32平米 | 南 | 其他 | 低楼层(共12层) | 2004年 | 塔楼'],['318'],"['34,077元/平']",天河区
['广之旅大厦 带卫生间 南向采光好'],['广之旅大厦 '],['五山'],['3室3厅 | 143.91平米 | 南 | 简装 | 高楼层(共22层) | 2000年 | 塔楼'],['400'],"['27,796元/平']",天河区
['一梯两户，南北对流，采光通风好。'],['省农科院西区 '],['五山'],['3室1厅 | 77.29平米 | 南 | 精装 | 中楼层(共5层) | 1996年 | 板楼'],['390'],"['50,460元/平']",天河区
['华阳原装电梯 3房2卫 全明户型  配套全'],['怡侨大厦 '],['体育中心'],['3室1厅 | 104.56平米 | 西北 | 其他 | 高楼层(共25层) | 1998年 | 板塔结合'],['935'],"['89,423元/平']",天河区
['南北对流，厅出阳台，闹中取静。'],['南雅苑 '],['天河南'],['3室2厅 | 80.37平米 | 东南 | 其他 | 低楼层(共8层) | 1992年 | 塔楼'],['548'],"['68,185元/平']",天河区
['华南农业大学茶山小区电梯大3房'],['华南农业大学宿舍茶山区 '],['五山'],['3室2厅 | 84.04平米 | 南 | 简装 | 高楼层(共9层)  | 塔楼'],['690'],"['82,104元/平']",天河区
['天河客运站 天河新天地 85方的三方   可注册公司'],['天河新天地 '],['天河客运站'],['3室2厅 | 84.62平米 | 东南 | 其他 | 高楼层(共15层) | 2014年 | 塔楼'],['210'],"['24,817元/平']",天河区
['侨怡苑原装电梯，东南向高层，保养佳，通风采光视野好'],['怡侨大厦 '],['体育中心'],['3室1厅 | 99平米 | 南 | 精装 | 高楼层(共25层) | 1998年 | 板塔结合'],['598'],"['60,405元/平']",天河区
['南兴花园 精装修 电梯 南向三房 看房方便'],['南兴花园(天河区) '],['天河客运站'],['3室2厅 | 95.67平米 | 南 | 简装 | 中楼层(共18层) | 2004年 | 塔楼'],['416'],"['43,483元/平']",天河区
['电梯高层  南向  双阳台  视野开阔 安静 新一期'],['五山花园 '],['五山'],['3室2厅 | 93.41平米 | 南 | 简装 | 高楼层(共16层) | 2005年 | 塔楼'],['620'],"['66,375元/平']",天河区
['天河北 龙口东 岗顶 精装电梯大三房 户型方正 无遮挡'],['龙口东路 '],['龙口东'],['3室1厅 | 105.63平米 | 南 | 精装 | 高楼层(共8层) | 1995年 | 板楼'],['520'],"['49,229元/平']",天河区
['华南农业大学西门口中科院小区框架南北对流三房诚心出'],['中科院能源研究所宿舍 '],['五山'],['3室2厅 | 89.28平米 | 南 | 简装 | 中楼层(共6层) | 2003年 | 塔楼'],['358'],"['40,099元/平']",天河区
['南兴花园(天河区) 3室1厅 东北'],['南兴花园(天河区) '],['天河客运站'],['3室1厅 | 85.88平米 | 东北 | 精装 | 高楼层(共7层) | 2004年 | 塔楼'],['318'],"['37,029元/平']",天河区
['电梯中下层 西南向采光通风好 视野开阔'],['南兴花园(天河区) '],['天河客运站'],['3室1厅 | 99.26平米 | 西南 | 其他 | 低楼层(共18层) | 2004年 | 塔楼'],['390'],"['39,291元/平']",天河区
['天河北龙口东一梯两户电梯楼 使用率高南北对流 采光好'],['龙口东路 '],['龙口东'],['3室2厅 | 105.63平米 | 东 东南 南 | 其他 | 低楼层(共8层) | 1995年 | 板楼'],['598'],"['56,613元/平']",天河区
['华农西南门旁大三房，户型方正，楼下就是地铁'],['粤汉路 '],['五山'],['3室1厅 | 77.54平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据'],['333'],"['42,946元/平']",天河区
['天河北精装修，远洋天骄景观靓房，通透方正中层望花园'],['远洋天骄 '],['天河客运站'],['3室2厅 | 97.23平米 | 北 | 精装 | 中楼层(共19层) | 2017年 | 塔楼'],['500'],"['51,425元/平']",天河区
['精装大三房 南向电梯中层 视野采光好'],['恒城大厦 '],['天河南'],['3室1厅 | 94.28平米 | 南 | 精装 | 中楼层(共31层) | 1998年 | 塔楼'],['480'],"['50,913元/平']",天河区
['过五年免增值税，全新装修，拎包入住 ，保养好'],['天文苑 '],['体育中心'],['3室1厅 | 99.48平米 | 东 | 精装 | 中楼层(共29层) | 2003年 | 板塔结合'],['799'],"['80,318元/平']",天河区
['华平街 电梯全明三室双阳台 平层入户 安静不吵'],['华康小区 '],['体育中心'],['3室1厅 | 81.98平米 | 北 | 简装 | 中楼层(共8层) | 1999年 | 塔楼'],['520'],"['63,431元/平']",天河区
['五山花园电梯精装修三房两卫   采光棒  业主诚心卖'],['五山花园 '],['五山'],['3室2厅 | 108.9平米 | 西北 北 | 其他 | 低楼层(共9层) | 2003年 | 塔楼'],['530'],"['48,669元/平']",天河区
['天河区 南兴花园 步梯 中楼层 厅出阳台 户型方正'],['南兴花园(天河区) '],['天河客运站'],['3室2厅 | 85.88平米 | 东北 | 其他 | 中楼层(共7层) | 2004年 | 塔楼'],['290'],"['33,769元/平']",天河区
['体育东六运小区，电梯三房，东向，中高层，采光好'],['六运小区 '],['天河南'],['3室2厅 | 99.5平米 | 东 | 简装 | 高楼层(共8层) | 1990年 | 塔楼'],['660'],"['66,332元/平']",天河区
['天河区五山翠华苑南北对流大三房'],['翠华苑 '],['五山'],['3室2厅 | 108.09平米 | 南 北 | 其他 | 低楼层(共7层) | 2000年 | 塔楼'],['608'],"['56,250元/平']",天河区
